Name;Seconds;AlbumId
O Cidadão Do Mundo;201;24
Etnia;153;24
Quilombo Groove [Instrumental];152;24
Macô;250;24
Um Passeio No Mundo Livre;240;24
Samba Do Lado;227;24
Maracatu Atômico;284;24
O Encontro De Isaac Asimov Com Santos Dumont No Céu;99;24
Corpo De Lama;233;24
Sobremesa;240;24
Manguetown;195;24
Um Satélite Na Cabeça;127;24
Baião Ambiental [Instrumental];153;24
Sangue De Bairro;132;24
Enquanto O Mundo Explode;89;24
Interlude Zumbi;72;24
Criança De Domingo;208;24
Amor De Muito;175;24
Samidarish [Instrumental];272;24
Maracatu Atômico [Atomic Version];273;24
Maracatu Atômico [Ragga Mix];210;24
Maracatu Atômico [Trip Hop];221;24
Banditismo Por Uma Questa;307;25
Banditismo Por Uma Questa;244;25
Rios Pontes & Overdrives;287;25
Cidade;216;25
Praiera;184;25
Samba Makossa;272;25
Da Lama Ao Caos;252;25
Maracatu De Tiro Certeiro;89;25
Salustiano Song;215;25
Antene Se;248;25
Risoflora;106;25
Lixo Do Mangue;193;25
Computadores Fazem Arte;404;25
Girassol;250;26
A Sombra Da Maldade;231;26
Johnny B. Goode;255;26
Soldado Da Paz;194;26
Firmamento;222;26
Extra;304;26
O Erê;236;26
Podes Crer;232;26
A Estrada;249;26
Berlim;208;26
Já Foi;222;26
Onde Você Mora?;256;26
Pensamento;173;26
Conciliação;258;26
Realidade Virtual;195;26
Mensagem;225;26
A Cor Do Sol;231;26
Onde Você Mora?;298;27
O Erê;207;27
A Sombra Da Maldade;285;27
A Estrada;282;27
Falar A Verdade;245;27
Firmamento;225;27
Pensamento;192;27
Realidade Virtual;240;27
Doutor;178;27
Na Frente Da TV;290;27
Downtown;240;27
Sábado A Noite;267;27
A Cor Do Sol;273;27
Eu Também Quero Beijar;211;27
Noite Do Prazer;311;28
À Francesa;245;28
Cada Um Cada Um (A Namoradeira);253;28
Linha Do Equador;245;28
Amor Demais;254;28
Férias;264;28
Gostava Tanto De Você;230;28
Flor Do Futuro;276;28
Felicidade Urgente;267;28
Livre Pra Viver;215;28
Dig-Dig, Lambe-Lambe (Ao Vivo);205;29
Pererê;199;29
TriboTchan;194;29
Tapa Aqui, Descobre Ali;189;29
Daniela;231;29
Bate Lata;207;29
Garotas do Brasil;210;29
Levada do Amor (Ailoviu);190;29
Lavadeira;214;29
Reboladeira;211;29
É que Nessa Encarnação Eu Nasci Manga;197;29
Reggae Tchan;207;29
My Love;203;29
Latinha de Cerveja;167;29
You Shook Me;316;30
I Can't Quit You Baby;264;30
Communication Breakdown;193;30
Dazed and Confused;402;30
The Girl I Love She Got Long Black Wavy Hair;183;30
What is and Should Never Be;261;30
Communication Breakdown(2);161;30
Travelling Riverside Blues;312;30
Whole Lotta Love;373;30
Somethin' Else;128;30
Communication Breakdown(3);185;30
I Can't Quit You Baby(2);381;30
You Shook Me(2);619;30
How Many More Times;712;30
Debra Kadabra;235;31
Carolina Hard-Core Ecstasy;360;31
Sam With The Showing Scalp Flat Top;171;31
Poofter's Froth Wyoming Plans Ahead;184;31
200 Years Old;273;31
Cucamonga;144;31
Advance Romance;678;31
Man With The Woman Head;89;31
Muffin Man;333;31
Vai-Vai 2001;276;32
X-9 2001;274;32
Gavioes 2001;283;32
Nene 2001;285;32
Rosas De Ouro 2001;284;32
Mocidade Alegre 2001;282;32
Camisa Verde 2001;283;32
Leandro De Itaquera 2001;275;32
Tucuruvi 2001;288;32
Aguia De Ouro 2001;284;32
Ipiranga 2001;248;32
Morro Da Casa Verde 2001;285;32
Perola Negra 2001;282;32
Sao Lucas 2001;296;32
Guanabara;248;33
Mas Que Nada;248;33
Vôo Sobre o Horizonte;225;33
A Paz;263;33
Wave (Vou te Contar);272;33
Água de Beber;147;33
Samba da Bençaco;282;33
Pode Parar;179;33
Menino do Rio;263;33
Ando Meio Desligado;196;33
Mistério da Raça;184;33
All Star;176;33
Menina Bonita;237;33
Pescador de Ilusões;246;33
À Vontade (Live Mix);181;33
Maria Fumaça;141;33
Sambassim (dj patife remix);214;33
Garota De Ipanema;280;34
Tim Tim Por Tim Tim;213;34
Tarde Em Itapoã;314;34
Tanto Tempo;170;34
Eu Vim Da Bahia - Live;158;34
Alô Alô Marciano;238;34
Linha Do Horizonte;279;34
Only A Dream In Rio;371;34
Abrir A Porta;272;34
Alice;166;34
Momentos Que Marcam;280;34
Um Jantar Pra Dois;238;34
Bumbo Da Mangueira;270;34
Mr Funk Samba;214;34
Santo Antonio;163;34
Por Você;206;34
Só Tinha De Ser Com Você;390;34
Free Speech For The Dumb;155;35
It's Electric;214;35
Sabbra Cadabra;380;35
Turn The Page;367;35
Die Die My Darling;149;35
Loverman;473;35
Mercyful Fate;672;35
Astronomy;398;35
Whiskey In The Jar;305;35
Tuesday's Gone;546;35
The More I See;288;35
A Kind Of Magic;263;36
Under Pressure;237;36
Radio GA GA;344;36
I Want It All;242;36
I Want To Break Free;259;36
Innuendo;388;36
It's A Hard Life;249;36
Breakthru;249;36
Who Wants To Live Forever;298;36
Headlong;273;36
The Miracle;295;36
I'm Going Slightly Mad;248;36
The Invisible Man;239;36
Hammer To Fall;220;36
Friends Will Be Friends;249;36
The Show Must Go On;264;36
One Vision;243;36
Detroit Rock City;219;37
Black Diamond;314;37
Hard Luck Woman;216;37
Sure Know Something;242;37
Love Gun;196;37
Deuce;185;37
Goin' Blind;216;37
Shock Me;227;37
Do You Love Me;215;37
She;248;37
I Was Made For Loving You;271;37
Shout It Out Loud;220;37
God Of Thunder;256;37
Calling Dr. Love;225;37
Beth;167;37
Strutter;192;37
Rock And Roll All Nite;174;37
Cold Gin;262;37
Plaster Caster;207;37
God Gave Rock 'n' Roll To You;320;37
Heart of the Night;274;38
De La Luz;315;38
Westwood Moon;296;38
Midnight;267;38
Playtime;274;38
Surrender;288;38
Valentino's;296;38
Believe;311;38
As We Sleep;317;38
When Evening Falls;298;38
J Squared;289;38
Best Thing;274;38
Maria;167;39
Poprocks And Coke;158;39
Longview;234;39
Welcome To Paradise;224;39
Basket Case;182;39
When I Come Around;178;39
She;134;39
J.A.R. (Jason Andrew Relva);171;39
Geek Stink Breath;136;39
Brain Stew;193;39
Jaded;90;39
Walking Contradiction;151;39
Stuck With Me;136;39
Hitchin' A Ride;172;39
Good Riddance (Time Of Your Life);154;39
Redundant;198;39
Nice Guys Finish Last;170;39
Minority;169;39
Warning;222;39
Waiting;193;39
Macy's Day Parade;213;39
Into The Light;76;40
River Song;440;40
She Give Me ...;253;40
Don't You Cry;347;40
Love Is Blind;345;40
Slave;292;40
Cry For Love;293;40
Living On Love;392;40
Midnight Blue;299;40
Too Many Tears;359;40
Don't Lie To Me;284;40
Wherever You May Go;240;40
Grito De Alerta;202;41
Não Dá Mais Pra Segurar (Explode Coração);220;41
Começaria Tudo Outra Vez;197;41
O Que É O Que É ?;259;41
Sangrando;170;41
Diga Lá, Coração;256;41
Lindo Lago Do Amor;250;41
Eu Apenas Queria Que Voçê Soubesse;156;41
Com A Perna No Mundo;227;41
E Vamos À Luta;222;41
Um Homem Também Chora (Guerreiro Menino);207;41
Comportamento Geral;182;41
Ponto De Interrogação;181;41
Espere Por Mim, Morena;207;41
Meia-Lua Inteira;222;23
Voce e Linda;243;23
Um Indio;196;23
Podres Poderes;260;23
Voce Nao Entende Nada - Cotidiano;422;23
O Estrangeiro;375;23
Menino Do Rio;148;23
Qualquer Coisa;193;23
Sampa;185;23
Queixa;300;23
O Leaozinho;184;23
Fora Da Ordem;354;23
Terra;401;23
Alegria, Alegria;169;23
Balada Do Louco;241;42
Ando Meio Desligado;288;42
Top Top;147;42
Baby;177;42
A E O Z;519;42
Panis Et Circenses;125;42
Chão De Estrelas;285;42
Vida De Cachorro;195;42
Bat Macumba;188;42
Desculpe Babe;170;42
Rita Lee;189;42
Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll;223;42
Banho De Lua;222;42
Meu Refrigerador Não Funciona;383;42
